Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
12,Savage,Megan Thee Stallion,790976,55CHeLEfn5iJ0IIkgaa4si,0.843,0.741,-5.609,0.334,0.0252,0,0.096,0.68,168.983,155497
13,PICK UP (feat. Quavo),DaBaby,763551,5gNOINI5dXZVom2b36LMOd,0.916,0.607,-4.463,0.402,0.112,0,0.135,0.734,129.942,118547
14,death bed (coffee for your head) (feat. beabadoobee),Powfu,744198,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,173333
15,JUMP (feat. YoungBoy Never Broke Again),DaBaby,700354,0oT9ElXYSxvnOOagP9efDq,0.893,0.721,-6.248,0.358,0.164,0,0.263,0.964,140.099,212093
16,Walk Em Down (feat. Roddy Ricch),NLE Choppa,680368,4cSSL3YafYjM3yjgFO1vJg,0.867,0.744,-5.171,0.228,0.268,0,0.0713,0.645,84.005,173288
17,Intentions (feat. Quavo),Justin Bieber,667097,4umIPjkehX1r7uhmGvXiSV,0.806,0.546,-6.637,0.0575,0.3,0,0.102,0.874,147.986,212867
18,Life Is Good (feat. Drake),Future,663145,5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0706,0,0.152,0.508,142.037,237735
19,Sunday Best,Surfaces,662345,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,-6.832,0.0578,0.183,0,0.0714,0.694,112.022,158571
20,Circles,Post Malone,661860,21jGcNKet2qwijlDFuPiPb,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
21,I’m Ready (with Demi Lovato),Sam Smith,650341,1fipvP2zmef6vN2IwXfJhY,0.501,0.674,-6.363,0.0408,0.00346,3.56E-05,0.282,0.152,155.051,200838
22,ROXANNE,Arizona Zervas,604184,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,-5.616,0.148,0.0522,0,0.46,0.457,116.735,163636
23,High Fashion (feat. Mustard),Roddy Ricch,597684,07KXEDMj78x68D884wgVEm,0.831,0.499,-8.442,0.114,0.269,0,0.3,0.511,97.956,220487
24,Falling,Trevor Daniel,594890,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,-8.756,0.0364,0.123,0,0.0887,0.236,127.087,159382
25,Turks (feat. Travis Scott),NAV,579500,0lSZh5W0wDeurkGzLYY6hf,0.893,0.618,-4.425,0.112,0.0827,0,0.542,0.389,119.099,161377
26,BLAME IT ON BABY,DaBaby,574290,0jWm0VyD8p3MrSInczpows,0.842,0.696,-5.686,0.388,0.222,0,0.147,0.856,109.858,125907
27,Supalonely,BENEE,569156,4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,-4.689,0.0534,0.305,3.04E-05,0.123,0.817,128.977,223480
28,Gimme Love,Joji,553832,2hfoyc7ve6xM4ZEiNIiU1B,0.482,0.631,-6.917,0.0986,0.696,0.0242,0.209,0.0743,126.576,214558
